Total symbols: 29888

161: flag=0x54, name=packetTypeDescGet, address=0x4020D708
162: flag=0x54, name=appMallocId, address=0x4020D724
163: flag=0x54, name=appDescription, address=0x4020D758
164: flag=0x54, name=appLeverFetch, address=0x4020D790
165: flag=0x54, name=appCountFetch, address=0x4020D7CC
166: flag=0x54, name=aplicationTblShow, address=0x4020D810
167: flag=0x54, name=applicationDelete, address=0x4020D900
168: flag=0x54, name=connectionTblShow, address=0x4020D964
169: flag=0x54, name=applicationAdd, address=0x4020DC44
170: flag=0x54, name=connectionEntryDelete, address=0x4020DD94
171: flag=0x54, name=connectionEntryMoveTail, address=0x4020DE30
172: flag=0x54, name=connectionEntryAdd, address=0x4020DEB0
173: flag=0x54, name=applicationInitiation, address=0x4020DF3C
174: flag=0x54, name=connectionTblDestroy, address=0x4020DFEC
175: flag=0x54, name=connectionTblCreate, address=0x4020E024
176: flag=0x54, name=staCtrlFormatMatchWithIp, address=0x4020E098
177: flag=0x54, name=staCtrlFormatExactMatch, address=0x4020E15C
178: flag=0x54, name=staCtrlFormatNodeFree, address=0x4020E2A0
179: flag=0x54, name=staCtrlFormatNodeUpdate, address=0x4020E3C0
180: flag=0x54, name=staCtrlFormatNodeAdd, address=0x4020E4D0
181: flag=0x54, name=staCtrlFormatNodeDelete, address=0x4020E624
182: flag=0x54, name=staCtrlFormatNodeMalloc, address=0x4020E808
183: flag=0x54, name=staCtrlFormatDestroy, address=0x4020EA74
184: flag=0x54, name=staCtrlFormatCreate, address=0x4020EB74
185: flag=0x54, name=staCtrlFormatInit, address=0x4020ED38
186: flag=0x54, name=endFlagsClr, address=0x4020EDD4
187: flag=0x54, name=endFlagsSet, address=0x4020EDE8
188: flag=0x54, name=endFlagsGet, address=0x4020EDF8
189: flag=0x54, name=endDevName, address=0x4020EE00
190: flag=0x54, name=endM2Free, address=0x4020EE08
191: flag=0x54, name=_endM2Packet_1213, address=0x4020EE40
192: flag=0x54, name=jpt_4020EE88, address=0x4020EE90
193: flag=0x54, name=def_4020EE88, address=0x4020EEA8
