Total symbols: 14614

150: flag=0x54, name=isPortBusy, address=0x8000FAD8
151: flag=0x54, name=mallocPort, address=0x8000FB28
152: flag=0x54, name=rdmPort, address=0x8000FC30
153: flag=0x54, name=portMngInit, address=0x8000FD00
154: flag=0x54, name=linkPhyUp, address=0x800103D4
155: flag=0x54, name=linkPhyDown, address=0x80010454
156: flag=0x54, name=linkStatusCheck, address=0x800104D4
157: flag=0x54, name=maxPhyNumGet, address=0x80010554
158: flag=0x54, name=prependSizeGet, address=0x800105D8
159: flag=0x54, name=linkModeSet, address=0x8001065C
160: flag=0x54, name=wanPhyIndexGet, address=0x800106F0
161: flag=0x54, name=switchInit, address=0x80010774
162: flag=0x54, name=getBlockOffset, address=0x80010798
163: flag=0x54, name=getBlockMaxSize, address=0x800107B8
164: flag=0x54, name=flashIoInit, address=0x800107D8
165: flag=0x54, name=flashReadID, address=0x800108D8
166: flag=0x54, name=flashReadUID, address=0x80010948
167: flag=0x54, name=readSpecifyBlockOffset, address=0x800109EC
168: flag=0x54, name=readSpecifyChar, address=0x80010AB8
169: flag=0x54, name=readSpecifyBlock, address=0x80010B34
170: flag=0x54, name=writeSpecifyBlock, address=0x80010BEC
171: flag=0x54, name=flashCheckRsaSign, address=0x80010CF4
172: flag=0x54, name=checkFlashUID, address=0x80010E54
173: flag=0x54, name=printFlashLayout, address=0x80010EF4
174: flag=0x54, name=cmdFlashParser, address=0x80011268
175: flag=0x54, name=writeProfileRadioBlock, address=0x800116D8
176: flag=0x54, name=writeTPHeadBlock, address=0x800117C0
177: flag=0x54, name=gpioWrite, address=0x80011844
178: flag=0x54, name=gpioRead, address=0x800118B8
179: flag=0x54, name=gpioInit, address=0x80011938
180: flag=0x54, name=getTotalFlashSpace, address=0x800119CC
181: flag=0x54, name=getPreInsFlashSpace, address=0x800119DC
182: flag=0x54, name=getPreInsUsedFlashSpace, address=0x80011EA0
183: flag=0x54, name=getUsedFlashSpace, address=0x80011F70
184: flag=0x54, name=miniFsDecryptConfig, address=0x80012040
185: flag=0x54, name=miniFsEncryptConfig, address=0x80012198
186: flag=0x54, name=miniFsWriteSectorDirect, address=0x80012F1C
187: flag=0x54, name=miniFsCleanConfigSector, address=0x8001593C
188: flag=0x54, name=miniFsReadFileExtract, address=0x80015964
189: flag=0x54, name=miniFsReadFileDirect, address=0x80015FA4
190: flag=0x54, name=miniFsReadFile, address=0x80016D48
191: flag=0x54, name=getMiniFsOffset, address=0x80016E04
192: flag=0x54, name=miniFsReinitSectorAddr, address=0x80016E50
193: flag=0x54, name=readProFile, address=0x80016F60
194: flag=0x54, name=readTpHead, address=0x80016F78
195: flag=0x54, name=miniFsWritePlugin, address=0x80018048
196: flag=0x54, name=miniFsCleanPackageRelation, address=0x800192D4
197: flag=0x54, name=miniFsSetPackageRelation, address=0x8001932C
198: flag=0x54, name=miniFsInit, address=0x80019858
199: flag=0x54, name=writeRadio5g, address=0x8001A174
200: flag=0x54, name=writeRadio, address=0x8001A278
201: flag=0x54, name=writeProFile, address=0x8001A364
202: flag=0x54, name=getAppEntryById, address=0x8001A510
203: flag=0x54, name=loadApp, address=0x8001A538
204: flag=0x54, name=appModuleInit, address=0x8001A5A0
205: flag=0x54, name=moduleIsLoaded, address=0x8001A8FC
206: flag=0x54, name=uninstallPlugin, address=0x8001BCF8
207: flag=0x54, name=b64_encode, address=0x8001C088
208: flag=0x54, name=b64_decode, address=0x8001C208
209: flag=0x54, name=ctrlPowerOn, address=0x8001C490
210: flag=0x54, name=ctrlReset, address=0x8001C5AC
211: flag=0x54, name=ctrlReboot, address=0x8001C688
212: flag=0x54, name=ctrlCleanConfigFile, address=0x8001C704
213: flag=0x54, name=ctrlMonitorDoAction, address=0x8001C79C
214: flag=0x54, name=ctrlUpdateConf, address=0x8001C9E4
215: flag=0x54, name=ctrlModuleReadConfigNew, address=0x8001CBF4
216: flag=0x54, name=DES_encrypt1, address=0x8001CD38
217: flag=0x54, name=DES_set_key_unchecked, address=0x8001D4B8
218: flag=0x54, name=des_min_do, address=0x8001D7AC
219: flag=0x54, name=def_8001D8A0, address=0x8001D8A8
220: flag=0x54, name=def_8001DAB4, address=0x8001DB14
221: flag=0x54, name=strncasecmp, address=0x8001DB4C
222: flag=0x54, name=strcasecmp, address=0x8001DC1C
223: flag=0x54, name=validMacAddr, address=0x8001DCC0
224: flag=0x54, name=validIpAddr, address=0x8001DD2C
225: flag=0x54, name=isMultiIp, address=0x8001DD58
226: flag=0x54, name=ipNetworkId, address=0x8001DD68
227: flag=0x54, name=validIpMaskPair, address=0x8001DDAC
228: flag=0x54, name=validMask, address=0x8001DEB4
229: flag=0x54, name=checksum, address=0x8001DF1C
230: flag=0x54, name=strcasestr, address=0x8001DF70
231: flag=0x54, name=validIpv6Addr, address=0x8001E074
232: flag=0x54, name=isGlobalIpv6Addr, address=0x8001E0C4
233: flag=0x54, name=checkIpv6ValidParam, address=0x8001E130
234: flag=0x54, name=ipv6CalcPrefix, address=0x8001E228
235: flag=0x54, name=inet6Set, address=0x8001E268
236: flag=0x54, name=inetSet, address=0x8001E4DC
237: flag=0x54, name=hex2str, address=0x8001E728
238: flag=0x54, name=ipv6AddrUpdate, address=0x8001E7F8
239: flag=0x54, name=privateIpAlloc, address=0x8001E8AC
240: flag=0x54, name=str2Hex, address=0x8001E95C
241: flag=0x54, name=wlanSwWpsCheckPIN, address=0x8001EA84
242: flag=0x54, name=macBinToString, address=0x8001ECE8
243: flag=0x54, name=validIpFormat, address=0x8001ED54
244: flag=0x54, name=matchPartnerValue, address=0x8001ED9C
245: flag=0x54, name=matchUintValue, address=0x8001EF3C
246: flag=0x54, name=matchPortValue, address=0x8001EFF8
247: flag=0x54, name=matchIntValue, address=0x8001F0C8
248: flag=0x54, name=matchOption, address=0x8001F168
249: flag=0x54, name=validMacFormat, address=0x8001F230
250: flag=0x54, name=validDomain, address=0x8001F320
251: flag=0x54, name=strncopy, address=0x8001F3F8
252: flag=0x54, name=checkValidParam, address=0x8001F468
